MODULE,MODULE_TITLE,MODULE_TYPE
PO2010,Political Theory from Hobbes,2
PO2060,Politics in the United Kingdom,2
PO2070,Politics in the USA,2
PO2190,Theories of International Relations,2
PO21Q0,Replication in Quantitative Political Analysis,NA
PO2220,Politics of Contemporary China,NA
PO2300,States and Markets: An Introduction to International Political Economy,2
PO2310,International Security,2
PO2400,Capitalism and Its Alternatives,2
PO2420,Political Economy and the Liberal-Democratic State,2
PO3010,Issues in Political Theory,2
PO353,Gender and Development,2
PO355,Governing Britain since 1918,2
PO3580,The Politics of European Union Policy-Making,2
PO3740,Politics of Globalisation,2
PO380,Britain and the War on Terror,2
PO3820,Vigilant State: Understanding Secret Intellegence,2
PO3840,East Asian Transformations: A Political Economy Perspective,2
PO3870,"State, Power, Freedom: European Political Theory",2
PO3910,Political Economy of Money,2
PO3980,Politics and Culture in the Middle East,2
PO3A80,Race and International Politics,NA
PS1110,Brain and Behaviour,2
PS1120,Psychology in Context,2
PS1150,Topics in Psychology,2
PS2010,Individual Differences,2
PS2100,Language and Cognition,NA
PS2100,Language and Thought,3
PS2110,"Perception, Planning and Action",2
PS2180,Developmental Psychology,2
PS2200,Social Psychology,2
PS3530,Developmental Psychopathology,2
PS3550,"Attention
Guest access requires password

",NA
PS3590,Behaviour Change,2
PS3600,Nonverbal Behaviour,2
PS3670,Psychology Across Cultures,2
PS3740,Aggression and Violence,NA
PX1010,Quantum Phenomena,1
PX1100,Physics Laboratory,1
PX1200,Electricity and Magnetism,1
PX1400,Electronics Workshop,1
PX1440,Introduction to Astronomy,1
PX1450,Physics Foundations,1
PX1460,Key Skills for Physics,1
PX1470,Introduction to Particle Physics,1
PX1480,Classical Mechanics & Special Relativity,1
PX1490,Mathematics for Physicists,1
PX1500,Physics Programming Workshop,1
PX2620,Quantum Mechanics and its Applications,1
PX2630,Electromagnetic Theory and Optics,1
PX2640,Physics of Fluids,1
PX2650,Thermal Physics II,1
PX2660,Geophysics,1
PX2670,Hamiltonian Mechanics,1
PX2680,Stars,1
PX2710,Physics Skills,1
PX2730,Physics of Electrical Power Generation,1
PX2750,Mathematical Methods for Physicists,1
PX277,Computational Physics,1
PX2770,Computational Physics,NA
PX2790,The Solar System,NA
PX2800,Environmental Physics,NA
PX3870,Astrophysics,NA
PX3890,Cosmology,NA
PX3900,Scientific Computing,NA
PX3970,Galaxies,NA
QS1040,Introduction to Social Analytics I,1
SO1120,International Perspectives on Gender,2
SO1160,Sociology of Gender,1
SO1180,"Life of Media: Past, Present and Future",2
SO120,Researching Society & Culture,1
SO1220,Race and the Making of the Modern World,1
SO123,Sociology of Education,2
SO1230,Sociology of Education,2
SO126,Class and Capitalism in the Neoliberal World,2
SO1260,Class and Capitalism in the Neoliberal World,NA
SO127,Crime and Society,2
SO1280,History of Sociological Thought,2
SO2310,"Transformations: Gender, Reproduction & Parenting in Contemporary Society",2
SO2400,Commercial Cultures in Global Capitalism,2
SO2420,Designing and Conducting Social Research,2
SO244,Educational Inequalities,2
SO2490,Becoming Yourself: The Construction of the Self in Contemporary Western,NA
SO2490,Becoming Yourself: The Construction of the Self in Contemporary Western Societies,2
SO2540,"Media, Audiences and Social Change",NA
SO2560,"Gender, Crime and Justice",2
SO3410,Transnational Media Ecologies,2
SO3410,Transnationalism and New Media,2
SO3440,"Sociology of Knowledge, Science and Intellectuals",2
SO350,"Punishment, Justice and Control",2
SO3650,Social Data Science,NA
ST1040,Statistical Laboratory I,1
ST1110,Probability (Part A),NA
ST1110,Probability Part A,1
ST1120,Probability (Part B),NA
ST1120,Probability Part B,1
ST2020,Stochastic Processes,1
ST2200,Introduction to Mathematical Statistics,1
ST2210,Linear Statistical Modelling,NA
ST2220,Games Decisions and Behaviour,2
ST3330,Applied Stochastic Processes,1
ST3390,Introduction to Mathematical Finance,1
ST402,Risk Theory,4
ST9060,Financial Time Series,1
ST9090,Applications of Stochastic Calculus in Finance,NA
ST9090,Continuous Time Finance for Interest Rate Models,1
ST9580,Advanced Topics in Mathematical Finance,1
