ID_anonym,IMD_Quintile,WP1_InCare_n_J,WP2_GCSE_both_n_J,WP3_FSM_n_J,WP4_LPN_n_J,WP5_1stGen_n_J,WP6_SEC_J,WP7_IMD_J,wp_sum_J,wp_ind_J
45582976,NA,0,NA,NA,NA,0,0,0,0,0
45582854,2,0,NA,NA,0,0,0,1,1,0
45582771,5,0,0,0,0,1,0,0,1,0
45582736,NA,0,NA,NA,NA,0,0,0,0,0
45582609,NA,0,NA,NA,NA,0,0,0,0,0
45582582,5,0,NA,NA,0,1,0,0,1,0
45582545,NA,0,NA,NA,NA,0,0,0,0,0
45582540,NA,0,NA,NA,NA,0,0,0,0,0
45582493,NA,0,NA,NA,NA,0,0,0,0,0
45582428,NA,0,NA,NA,NA,0,0,0,0,0
45582425,5,0,0,0,0,1,0,0,1,0
45582330,NA,0,NA,NA,NA,0,0,0,0,0
45582326,NA,0,NA,NA,NA,0,0,0,0,0
45582302,NA,0,NA,NA,NA,0,0,0,0,0
45582205,NA,0,NA,NA,NA,0,0,0,0,0
45582189,1,0,0,0,0,0,1,1,2,1
45582135,1,0,NA,NA,0,1,0,1,2,1
45582110,4,0,0,0,0,0,1,0,1,0
45582019,1,0,NA,NA,1,0,0,1,2,1
45581956,NA,0,NA,NA,NA,0,0,0,0,0
45581935,2,0,NA,NA,0,0,0,1,1,0
45581914,4,0,NA,NA,0,1,0,0,1,0
45581909,3,0,0,0,0,1,0,0,1,0
45581886,5,0,0,0,0,0,0,0,0,0
45581882,NA,0,NA,NA,NA,0,0,0,0,0
45581877,NA,0,NA,NA,NA,0,0,0,0,0
45581873,NA,0,NA,NA,NA,0,0,0,0,0
45581547,5,0,NA,NA,0,1,0,0,1,0
45581538,5,0,NA,NA,0,1,0,0,1,0
45581530,4,0,NA,NA,0,1,0,0,1,0
45581514,4,0,NA,NA,0,1,0,0,1,0
45581503,NA,0,NA,NA,NA,0,0,0,0,0
45581501,NA,0,NA,NA,NA,0,0,0,0,0
45581495,5,0,NA,NA,0,1,0,0,1,0
45581460,2,0,1,0,0,1,0,1,3,1
45581304,4,0,NA,NA,0,1,0,0,1,0
45581294,4,0,NA,NA,0,1,0,0,1,0
45581281,NA,0,1,0,NA,0,0,0,1,0
45581250,2,0,1,1,0,0,0,1,3,1
45581249,5,0,NA,NA,0,0,0,0,0,0
45581091,2,0,0,0,1,0,0,1,2,1
45581082,NA,0,NA,NA,NA,0,0,0,0,0
45580940,NA,0,NA,NA,NA,0,0,0,0,0
45580919,NA,0,NA,NA,NA,0,0,0,0,0
45580914,NA,0,NA,NA,NA,0,0,0,0,0
45580686,5,0,NA,NA,0,1,0,0,1,0
45580625,3,0,1,0,0,1,1,0,3,1
45580619,NA,0,NA,NA,NA,0,0,0,0,0
45580599,4,0,0,0,0,0,0,0,0,0
45580560,5,0,NA,NA,0,0,0,0,0,0
45580529,NA,0,NA,NA,NA,0,0,0,0,0
45580520,NA,0,NA,NA,NA,0,0,0,0,0
