ID_anonym,FY_startyear,STAGE_DESCRIPTION,STATUS_DESCRIPTION,AWARDSform_n,WP1_InCare_n,WP2_GCSE_both_n,WP3_FSM_n,WP4_LPN_n,WP5_1stGen_n,WP2_GCSE_n,WP2_schoolbottom_n,Polar3_Young_HE_Participation_Quintile,POLAR4_Young_HE_Participation_Quintile,LowSEC_Flag,LPN_Quintile,IMD_Quintile,WP_ALP_Flag,WP_FSM_Flag,WP_GCSE_Flag,InCare_Flag,ParentInHE_Flag,wp_sum,wp_sum_with_awards,wp_index
45373662,2018-2019,Completed,All work completed,NA,0,1,1,0,0,1,0,5,NA,Y,5,2,Y,N,N,Unanswered,Yes,2,2,Low
45370930,2018-2019,Completed,All work completed,NA,0,0,1,1,0,0,0,2,NA,N,2,1,N,Y,"NA",No,Unanswered,2,2,Low
45364626,2018-2019,Completed,All work completed,NA,0,1,0,0,1,0,1,3,NA,N,3,4,Y,N,Y,No,No,2,2,Low
45374505,2018-2019,Completed,All work completed,NA,0,0,1,0,1,0,0,5,NA,Y,5,2,N,N,N,Unanswered,Unanswered,2,2,Low
45366274,2018-2019,Completed,All work completed,NA,0,0,0,1,1,0,0,1,NA,Y,1,3,N,N,N,No,Unanswered,2,2,Low
45381449,2018-2019,Completed,All work completed,NA,0,1,0,1,0,1,1,3,NA,N,3,1,Y,N,Y,No,Yes,2,2,Low
45376922,2018-2019,Completed,All work completed,NA,0,0,0,1,1,NA,0,3,NA,N,3,1,N,N,"NA",No,Unanswered,2,2,Low
45262822,2019-2020,Completed,All work completed,0,0,1,1,0,0,0,1,5,5,N,5,5,NA,NA,NA,No,Yes,2,2,Low
45266482,2019-2020,Completed,All work completed,0,0,1,1,0,0,1,0,5,5,N,5,3,N,N,N,No,No,2,2,Low
45261519,2019-2020,Completed,All work completed,1,0,1,0,0,1,1,0,5,5,Y,5,3,NA,NA,NA,No,Not known,2,3,High
45270016,2019-2020,Completed,All work completed,0,0,1,0,0,1,1,0,3,2,N,3,2,N,N,N,No,No,2,2,Low
45258404,2019-2020,Completed,All work completed,1,0,0,0,1,1,0,0,1,1,N,3,1,NA,NA,NA,No,No,2,3,High
45283996,2019-2020,Completed,All work completed,0,0,1,0,1,0,1,0,1,1,N,1,1,N,"NA","NA",No,Yes,2,2,Low
45266169,2019-2020,Completed,All work completed,0,0,1,0,1,0,1,1,1,3,N,1,3,Y,N,Y,No,Yes,2,2,Low
45259244,2019-2020,Completed,All work completed,0,0,1,0,0,1,1,0,5,3,N,5,5,NA,NA,NA,No,No,2,2,Low
45269614,2019-2020,Completed,All work completed,0,0,0,1,1,0,0,0,4,4,N,4,1,N,Y,N,No,Yes,2,2,Low
45266887,2019-2020,Completed,All work completed,0,0,0,1,0,1,0,0,5,5,Y,5,2,N,N,N,No,No,2,2,Low
45280350,2019-2020,Completed,All work completed,0,0,1,0,0,1,1,0,5,5,Y,5,2,N,"NA","NA",No,No,2,2,Low
45372830,2019-2020,Completed,All work completed,0,0,0,1,0,1,0,0,4,5,Y,4,3,NA,NA,NA,No,Unanswered,2,2,Low
45269613,2019-2020,Completed,All work completed,0,0,0,1,1,0,0,0,4,4,N,4,1,N,Y,N,Unanswered,Not known,2,2,Low
45257404,2019-2020,Completed,All work completed,0,0,1,0,0,1,1,0,2,3,N,2,5,"NA",N,N,No,No,2,2,Low
45266886,2019-2020,Completed,All work completed,0,0,0,1,0,1,0,0,5,5,N,5,3,N,N,N,No,No,2,2,Low
45269461,2019-2020,Completed,All work completed,0,0,0,1,0,1,0,0,5,5,N,5,3,N,N,N,No,No,2,2,Low
45143577,2020-2021,Stage 1,UG Resit WO Res,0,0,0,0,1,1,0,NA,2,2,Y,2,1,N,N,N,No,No,2,2,Low
45158895,2020-2021,Completed,All work completed,0,0,0,1,1,0,0,NA,1,1,N,1,1,N,"NA","NA",No,Yes,2,2,Low
45134905,2020-2021,Completed,All work completed,0,0,0,1,0,1,0,NA,4,4,N,4,3,N,Y,N,No,No,2,2,Low
45155860,2020-2021,Completed,All work completed,0,0,1,0,1,0,1,NA,2,1,Y,2,3,Y,"NA","NA",No,Yes,2,2,Low
45154027,2020-2021,Completed,All work completed,0,0,0,1,0,1,0,NA,4,4,Y,4,2,N,N,N,No,No,2,2,Low
45149511,2020-2021,Completed,All work completed,0,0,0,1,0,1,0,NA,5,5,Y,5,3,N,Y,N,No,No,2,2,Low
45163911,2020-2021,Completed,All work completed,0,0,1,1,0,0,1,NA,5,5,Y,5,3,Y,Y,Y,No,No,2,2,Low
45164615,2020-2021,Completed,All work completed,0,0,0,1,1,0,0,NA,3,4,Y,3,1,N,N,N,No,Not known,2,2,Low
45197171,2020-2021,Completed,All work completed,0,0,1,0,0,1,1,NA,NA,4,N,4,5,N,N,N,No,No,2,2,Low
45147774,2020-2021,Completed,All work completed,0,0,1,1,0,0,1,NA,5,5,N,5,2,Y,N,N,Unanswered,Yes,2,2,Low
45133966,2020-2021,Completed,All work completed,0,0,0,0,1,1,0,NA,1,1,Y,1,2,NA,NA,NA,No,No,2,2,Low
45270289,2020-2021,Completed,All work completed,0,0,1,0,0,1,1,NA,5,5,Y,5,4,NA,NA,NA,No,No,2,2,Low
45042325,2021-2022,Stage 1,Full,NA,0,1,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,Low
45049143,2021-2022,Stage 1,Full,NA,0,1,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,Low
45169345,2021-2022,Stage 1,Full,NA,0,1,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,Low
45080409,2021-2022,Stage 1,Full,NA,0,1,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,Low
45035731,2021-2022,Stage 1,Full,NA,0,1,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,Low
45071485,2021-2022,Stage 1,Full,NA,0,1,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,Low
45050577,2021-2022,Stage 1,Full,NA,0,1,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,Low
45670947,2015-2016,Completed,All work completed,NA,0,1,1,1,0,NA,NA,NA,NA,N,1,2,N,Y,Y,No,No,3,3,High
45579369,2016-2017,Left,Voluntarily Withdrawn,1,1,1,0,0,1,NA,NA,5,NA,Y,5,5,N,N,N,Yes,No,3,4,High
45575514,2016-2017,Completed,All work completed,1,0,1,1,1,0,NA,NA,5,NA,N,1,1,NA,NA,NA,No,Not known,3,4,High
45585521,2016-2017,Completed,All work completed,0,0,1,1,0,1,NA,NA,5,NA,Y,2,1,N,N,Y,No,No,3,3,High
45579525,2016-2017,Completed,All work completed,0,0,1,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,High
45581250,2016-2017,Completed,All work completed,0,0,1,1,0,1,NA,NA,5,NA,N,3,1,Y,Y,Y,No,No,3,3,High
45577875,2016-2017,Completed,All work completed,0,0,1,1,0,1,NA,NA,5,NA,N,5,3,N,N,N,No,No,3,3,High
45572659,2016-2017,Completed,All work completed,0,0,1,1,0,1,NA,NA,5,NA,N,4,1,N,Y,N,No,No,3,3,High
45565757,2016-2017,Completed,All work completed,0,0,1,1,0,1,NA,NA,5,NA,Y,3,2,Y,N,Y,No,No,3,3,High
45579448,2016-2017,Completed,All work completed,0,0,1,1,0,1,NA,NA,5,NA,Y,5,2,Y,Y,Y,No,No,3,3,High
45472736,2017-2018,Left,Forced Withdrawn,0,0,1,1,0,1,NA,NA,2,NA,N,2,1,N,Y,Y,No,No,3,3,High
45474086,2017-2018,Completed,All work completed,0,0,1,0,1,1,NA,NA,1,NA,Y,1,1,N,N,N,No,No,3,3,High
45475851,2017-2018,Completed,All work completed,0,0,1,1,0,1,NA,NA,2,NA,Y,2,1,N,Y,Y,No,No,3,3,High
45466976,2017-2018,Completed,All work completed,0,0,1,0,1,1,NA,NA,1,NA,Y,1,1,N,N,"NA",No,No,3,3,High
45372448,2018-2019,Left,Forced Withdrawn,NA,0,1,0,1,1,0,1,4,NA,N,4,1,Y,"NA","NA",No,Yes,3,3,High
45382661,2018-2019,Left,Forced Withdrawn,NA,0,1,0,1,1,1,1,1,NA,N,1,1,N,N,N,No,No,3,3,High
45372152,2018-2019,Completed,All work completed,NA,0,1,0,1,1,NA,1,5,NA,N,5,1,Y,"NA","NA",No,Yes,3,3,High
45361802,2018-2019,Completed,All work completed,NA,0,1,1,0,1,1,1,3,NA,Y,3,2,NA,NA,NA,No,No,3,3,High
45366359,2018-2019,Completed,All work completed,NA,0,1,1,1,0,0,1,3,NA,Y,3,1,N,N,N,Unanswered,Yes,3,3,High
45368786,2018-2019,Completed,All work completed,NA,0,1,1,1,0,0,1,3,NA,N,3,1,N,Y,N,No,Yes,3,3,High
45367566,2018-2019,Completed,All work completed,NA,0,1,1,0,1,0,1,4,NA,Y,4,3,Y,Y,N,No,No,3,3,High
45364836,2018-2019,Completed,All work completed,NA,0,1,1,1,0,0,1,3,NA,N,3,1,N,N,N,No,Yes,3,3,High
45365478,2018-2019,Completed,All work completed,NA,0,0,1,1,1,0,0,3,NA,Y,3,1,Y,Y,N,No,No,3,3,High
45379532,2018-2019,Completed,All work completed,NA,0,0,1,1,1,0,0,5,NA,Y,5,1,N,N,N,No,No,3,3,High
45257625,2019-2020,Left,Forced Withdrawn,0,0,1,0,1,1,1,0,1,1,N,1,2,NA,NA,NA,No,No,3,3,High
45364497,2019-2020,Completed,All work completed,0,0,1,1,0,1,0,1,3,2,Y,3,3,NA,NA,NA,No,No,3,3,High
45263515,2019-2020,Completed,All work completed,1,1,0,0,1,1,0,0,2,1,N,2,1,N,N,N,Yes,Yes,3,4,High
45258583,2019-2020,Completed,All work completed,0,0,1,0,1,1,0,1,3,4,Y,3,1,NA,NA,NA,No,No,3,3,High
45279065,2019-2020,Completed,All work completed,0,0,1,1,0,1,1,0,2,2,N,2,2,Y,Y,Y,No,No,3,3,High
45258938,2019-2020,Completed,All work completed,0,0,1,1,0,1,1,0,3,5,N,3,5,NA,NA,NA,No,Yes,3,3,High
45268334,2019-2020,Completed,All work completed,0,0,1,0,1,1,1,0,3,4,Y,3,1,NA,NA,NA,No,No,3,3,High
45266927,2019-2020,Completed,All work completed,0,0,0,1,1,1,0,0,1,1,Y,1,1,N,N,N,No,No,3,3,High
45275991,2019-2020,Completed,All work completed,0,0,1,0,1,1,0,1,4,4,Y,4,1,Y,"NA","NA",No,No,3,3,High
45261885,2019-2020,Completed,All work completed,0,0,1,0,1,1,1,0,3,4,N,3,1,NA,NA,NA,No,No,3,3,High
45136923,2020-2021,Left,Voluntarily Withdrawn,0,0,1,1,0,1,1,NA,5,5,N,5,3,Y,N,N,No,No,3,3,High
45131928,2020-2021,Left,Forced Withdrawn,0,0,0,1,1,1,0,NA,3,5,Y,3,1,"NA",Y,N,No,No,3,3,High
45159806,2020-2021,Stage 1,UG First Sit WO Res,0,0,0,1,1,1,0,NA,4,4,N,4,1,N,Y,"NA",No,No,3,3,High
45262667,2020-2021,Completed,All work completed,0,0,1,1,0,1,1,NA,2,3,N,2,3,NA,NA,NA,No,No,3,3,High
45143418,2020-2021,Completed,All work completed,0,0,1,1,0,1,1,NA,3,5,N,3,4,N,N,N,No,No,3,3,High
45152733,2020-2021,Completed,All work completed,0,0,1,1,0,1,1,NA,1,2,N,1,3,N,N,N,No,No,3,3,High
45281852,2020-2021,Completed,All work completed,NA,0,1,1,1,0,NA,NA,NA,NA,Y,1,2,N,Y,Y,No,No,3,3,High
45057772,2021-2022,Stage 1,Full,NA,0,1,0,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,High
45039164,2021-2022,Stage 1,Full,NA,0,1,0,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,High
45061533,2021-2022,Stage 1,Full,NA,0,1,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,High
45054547,2021-2022,Stage 1,Full,NA,0,1,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,High
45032693,2021-2022,Stage 1,Full,NA,0,1,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,High
45059952,2021-2022,Stage 1,Full,NA,0,1,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,High
45571818,2016-2017,Completed,All work completed,0,0,1,1,1,1,NA,NA,1,NA,Y,1,2,Y,Y,Y,No,No,4,4,High
45579444,2016-2017,Completed,All work completed,0,0,1,1,1,1,NA,NA,NA,NA,N,1,1,Y,"NA","NA",No,No,4,4,High
45373847,2018-2019,Completed,All work completed,NA,0,1,1,1,1,1,0,5,NA,N,5,1,N,Y,N,No,Yes,4,4,High
45371399,2018-2019,Completed,All work completed,NA,0,1,1,1,1,1,1,3,NA,N,3,1,Y,Y,Y,No,Yes,4,4,High
45370204,2018-2019,Completed,All work completed,NA,0,1,1,1,1,1,0,2,NA,N,2,1,N,Y,Y,No,No,4,4,High
45368945,2018-2019,Completed,All work completed,NA,0,1,1,1,1,1,0,5,NA,Y,5,4,N,Y,N,No,No,4,4,High
45269302,2019-2020,Completed,All work completed,0,0,1,1,1,1,1,1,4,NA,Y,NA,1,N,N,N,No,No,4,4,High
45268705,2019-2020,Completed,All work completed,0,0,1,1,1,1,1,1,2,3,N,2,3,N,Y,Y,No,No,4,4,High
45052346,2021-2022,Stage 1,Full,NA,0,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,4,High
45185232,2021-2022,Stage 1,Full,NA,0,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,4,High
