ID_anonym,Intake_Year,IMD_Quintile,WP1_InCare_n_J,WP2_GCSE_both_n_J,WP3_FSM_n_J,WP4_LPN_n_J,WP5_1stGen_n_J,WP6_SEC_J,WP7_IMD_J,wp_sum_J,wp_ind_J
45779885,14/15,NA,0,NA,NA,NA,0,0,0,0,0
45779742,14/15,NA,0,NA,NA,NA,0,0,0,0,0
45779691,14/15,4,0,0,0,0,0,0,0,0,0
45779661,14/15,NA,0,NA,NA,NA,0,0,0,0,0
45779573,14/15,NA,0,NA,NA,NA,0,0,0,0,0
45779514,14/15,2,0,0,0,0,0,0,1,1,0
45779321,14/15,3,0,0,0,0,1,0,0,1,0
45779253,14/15,NA,0,NA,NA,NA,0,0,0,0,0
45779231,14/15,5,0,0,0,0,1,0,0,1,0
45779223,14/15,2,0,NA,NA,0,0,0,1,1,0
45779126,14/15,4,0,NA,NA,0,1,0,0,1,0
45779120,14/15,NA,0,NA,NA,NA,0,0,0,0,0
45779107,14/15,NA,0,NA,NA,NA,0,0,0,0,0
45779061,14/15,2,0,0,0,0,1,0,1,2,1
45779038,14/15,NA,0,NA,NA,NA,0,0,0,0,0
45778950,14/15,5,0,0,0,0,0,0,0,0,0
45778885,14/15,NA,0,NA,NA,NA,0,0,0,0,0
45778856,14/15,NA,0,NA,NA,NA,0,0,0,0,0
45778754,14/15,NA,0,NA,NA,NA,0,0,0,0,0
45778516,14/15,NA,0,1,0,NA,0,0,0,1,0
45778485,14/15,1,0,NA,NA,0,0,0,1,1,0
45778418,14/15,NA,0,NA,NA,NA,0,0,0,0,0
45778398,15/16,NA,0,NA,NA,NA,0,0,0,0,0
45778384,14/15,NA,0,NA,NA,NA,0,0,0,0,0
45778374,14/15,4,0,NA,NA,0,0,0,0,0,0
45778360,14/15,NA,0,NA,NA,NA,0,0,0,0,0
45778320,14/15,NA,0,1,0,NA,0,NA,0,1,0
45778264,14/15,5,0,NA,NA,0,0,0,0,0,0
45778225,14/15,5,0,NA,NA,0,0,0,0,0,0
45778160,14/15,NA,0,NA,NA,NA,0,0,0,0,0
45778111,14/15,NA,0,NA,NA,NA,0,0,0,0,0
45778103,14/15,NA,0,NA,NA,NA,0,0,0,0,0
45778067,14/15,NA,0,NA,NA,NA,0,0,0,0,0
45777991,14/15,NA,0,NA,NA,NA,0,0,0,0,0
45777979,15/16,3,0,NA,NA,0,0,0,0,0,0
45777827,14/15,NA,0,NA,NA,NA,0,0,0,0,0
45777809,14/15,NA,0,NA,NA,NA,0,0,0,0,0
45777796,14/15,NA,0,0,0,NA,0,0,0,0,0
45777699,14/15,NA,0,NA,NA,NA,0,0,0,0,0
45777691,14/15,NA,0,NA,NA,NA,0,0,0,0,0
45777689,14/15,NA,0,NA,NA,NA,0,0,0,0,0
45777680,14/15,NA,0,NA,NA,NA,0,0,0,0,0
45777634,14/15,NA,0,NA,NA,NA,0,0,0,0,0
45777577,14/15,NA,0,NA,NA,NA,0,0,0,0,0
45777541,15/16,NA,0,NA,NA,NA,0,0,0,0,0
45777538,14/15,NA,0,NA,NA,NA,0,0,0,0,0
45777524,14/15,NA,0,NA,NA,NA,0,0,0,0,0
45777500,14/15,NA,0,NA,NA,NA,0,0,0,0,0
45777491,15/16,NA,0,NA,NA,NA,0,0,0,0,0
45777480,14/15,NA,0,NA,NA,NA,0,0,0,0,0
45777241,14/15,NA,0,NA,NA,NA,0,0,0,0,0
45777162,15/16,NA,0,NA,NA,NA,0,0,0,0,0
45776959,14/15,NA,0,NA,NA,NA,0,0,0,0,0
45776790,14/15,NA,0,NA,NA,NA,0,0,0,0,0
45776733,14/15,NA,0,NA,NA,NA,0,0,0,0,0
45776716,14/15,NA,0,NA,NA,NA,0,0,0,0,0
45776686,14/15,NA,0,NA,NA,NA,0,0,0,0,0
45776676,14/15,NA,0,NA,NA,NA,0,0,0,0,0
45776659,14/15,NA,0,NA,NA,NA,0,0,0,0,0
45776577,14/15,NA,0,NA,NA,NA,0,0,0,0,0
45776556,14/15,NA,0,NA,NA,NA,0,0,0,0,0
45776500,14/15,4,0,NA,NA,0,0,0,0,0,0
45776453,14/15,NA,0,NA,NA,NA,0,0,0,0,0
45776446,14/15,4,0,0,0,0,1,0,0,1,0
45776445,14/15,4,0,NA,NA,0,1,0,0,1,0
45776418,14/15,NA,0,NA,NA,NA,0,0,0,0,0
45776366,14/15,NA,0,NA,NA,NA,0,0,0,0,0
45776306,14/15,NA,0,NA,NA,NA,0,0,0,0,0
45776260,14/15,NA,0,NA,NA,NA,0,0,0,0,0
45776191,14/15,NA,0,NA,NA,NA,0,0,0,0,0
45776183,14/15,NA,0,NA,NA,NA,0,0,0,0,0
45776083,14/15,NA,0,NA,NA,NA,0,0,0,0,0
45776073,14/15,NA,0,NA,NA,NA,0,0,0,0,0
45776014,14/15,NA,0,NA,NA,NA,0,0,0,0,0
45775935,15/16,1,0,0,0,1,1,0,1,3,1
45775739,14/15,NA,0,NA,NA,NA,0,0,0,0,0
45775704,14/15,NA,0,NA,NA,NA,0,0,0,0,0
45775649,14/15,NA,0,NA,NA,NA,0,0,0,0,0
45775638,14/15,NA,0,NA,NA,NA,0,0,0,0,0
45775584,14/15,NA,0,NA,NA,NA,0,0,0,0,0
45775505,14/15,NA,0,NA,NA,NA,0,0,0,0,0
45775456,14/15,NA,0,NA,NA,NA,0,0,0,0,0
45775442,14/15,NA,0,NA,NA,NA,0,0,0,0,0
45775421,15/16,NA,0,NA,NA,NA,0,0,0,0,0
45775408,14/15,NA,0,NA,NA,NA,0,0,0,0,0
45775299,14/15,NA,0,NA,NA,NA,0,0,0,0,0
45775267,14/15,NA,0,NA,NA,NA,0,0,0,0,0
45775178,14/15,NA,0,NA,NA,NA,0,0,0,0,0
