ID_anonym,ind_WBS_Scholarship,Award,Course,Current stage,Award_type,ind_Warwick_Scholar,Access Programme 1,Access Programme 2,"Receipt of Bursary
(2K unless stated)",50% Fees?,UG Dept / Subject of Study,Start year,WP Criteria (WS Access Only),ind_Contextual_Offer,Year,CAP_CYCL,CAP_AYRC,CAP_UDF1,CAP_UDFF,ID_dup
45276285,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,2019,2019,19/20,NA,Y,FALSE
45271822,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,2019,2019,19/20,NA,Y,FALSE
45275125,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,2019,2019,19/20,NA,Y,FALSE
45263829,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,2019,2019,19/20,NA,Y,FALSE
45270327,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,2019,2019,19/20,NA,Y,FALSE
45382847,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,2018,2018,18/19,NA,"Y,Y,N,Y,X,Y",FALSE
45374692,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,2018,2018,18/19,NA,"Y,Y,N,Y,X,Y",FALSE
45371349,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,2018,2018,18/19,NA,"Y,N,N,N,Y,Y",FALSE
45376512,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,2018,2018,18/19,NA,"X,N,N,X,X,N",FALSE
45376963,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,2018,2018,19/20,NA,"Y,N,N,Y,X,Y",FALSE
45377069,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,2018,2018,18/19,NA,"X,Y,N,N,Y,Y",FALSE
45368119,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,2018,2018,18/19,NA,"Y,Y,N,N,Y,Y",FALSE
45373188,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,2018,2018,18/19,NA,"Y,N,N,Y,X,Y",FALSE
45365910,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,2018,2018,18/19,NA,"Y,Y,N,Y,Y,Y",FALSE
45497349,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,2017,2017,17/18,NA,"Y,Y,N,Y,N,Y",FALSE
45492344,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,2017,2017,17/18,NA,"Y,N,N,Y,Y,Y",FALSE
45475370,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,2017,2017,17/18,NA,"X,N,N,Y,Y,Y",FALSE
45473303,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,2017,2017,17/18,NA,"Y,N,N,Y,X,Y",FALSE
45477996,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,2017,2017,17/18,NA,"Y,Y,N,Y,N,Y",FALSE
45471552,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,2017,2017,17/18,NA,"Y,N,N,Y,N,Y",FALSE
45472516,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,2017,2017,18/19,NA,"N,N,N,Y,Y,Y",FALSE
