"","ID_anonym","NATIONALITY","ACRONYM.FY.","STARTYEAR.FY.","CURRENTSTAGE.FY.","STAGE_DESCRIPTION.FY.","CURRENTSTATUS.FY.","STATUS_DESCRIPTION.FY.","ACRONYM","STARTYEAR","CURRENTSTAGE","STAGE_DESCRIPTION","CURRENTSTATUS","STATUS_DESCRIPTION","wp_INDEX","WP_ALP_Flag.J.","WP_FSM_Flag.J.","WP_GCSE_Flag.J.","LPN_Quintile.J.","LowSEC_Flag.J.","ParentInHE_Flag.J.","InCare_Flag.J."
"97",45579525,"British (ex. Channel Islands & Isle of Man)","FY","2016-2017","X","Completed","K","All work completed","AFUPP","2016-2017","3","Stage 3","F","Full",3,"Y","Y",NA,2,"N",NA,"No"
"98",45581250,"British (ex. Channel Islands & Isle of Man)","FY","2016-2017","X","Completed","K","All work completed","MN","2016-2017","3","Stage 3","F","Full",3,"N","Y","Y",3,"N",NA,"No"
"99",45585521,"British (ex. Channel Islands & Isle of Man)","FY","2016-2017","X","Completed","K","All work completed","AF","2016-2017","3","Stage 3","F","Full",5,"N","Y","Y",2,"Y","No","No"
"100",45586482,"British (ex. Channel Islands & Isle of Man)","FY","2016-2017","X","Completed","K","All work completed","AFI","2016-2017","3","Stage 3","F","Full",4,"N","Y","Y",2,"Y",NA,"No"
"101",45667845,"British (ex. Channel Islands & Isle of Man)","FY","2015-2016","X","Completed","K","All work completed","AF","2016-2017","X","Completed","G","Awarded",2,"N","N","N",3,"N","No","No"
"102",45668892,"British (ex. Channel Islands & Isle of Man)","FY","2016-2017","X","Completed","K","All work completed","AF","2016-2017","L","Left","NS","No Show",1,"N","Y","N",5,"N","Not known","No"
"103",45669384,"British (ex. Channel Islands & Isle of Man)","FY","2015-2016","X","Completed","K","All work completed","AF","2016-2017","3","Stage 3","F","Full",5,"N","Y","Y",2,"Y","No","No"
"104",45670947,"British (ex. Channel Islands & Isle of Man)","FY","2015-2016","X","Completed","K","All work completed","AF","2016-2017","3","Stage 3","F","Full",4,"N","Y","Y",1,"N",NA,"No"
"105",45671263,"Pakistani","FY","2015-2016","X","Completed","K","All work completed","MN","2016-2017","L","Left","W","Forced Withdrawn",1,"Y",NA,NA,4,"N","Yes","No"
"106",45671975,"British (ex. Channel Islands & Isle of Man)","FY","2015-2016","X","Completed","K","All work completed","MN","2016-2017","X","Completed","G","Awarded",3,"N","Y","N",4,"Y","No","No"
"107",45672117,"British (ex. Channel Islands & Isle of Man)","FY","2015-2016","X","Completed","K","All work completed","MN","2016-2017","2","Stage 2","F","Full",4,"Y","Y","Y",3,"N",NA,"No"
"108",45672315,"British (ex. Channel Islands & Isle of Man)","FY","2015-2016","X","Completed","K","All work completed","MN","2016-2017","3","Stage 3","7","UG First Sit WO Res",1,"N","N","N",5,"Y",NA,"No"
"109",45672573,"British (ex. Channel Islands & Isle of Man)","FY","2015-2016","X","Completed","K","All work completed","AFUPP","2016-2017","4","Stage 4","F","Full",0,"N","N","N",5,"N",NA,"No"
"110",45672883,"British (ex. Channel Islands & Isle of Man)","FY","2015-2016","X","Completed","K","All work completed","MN","2016-2017","X","Completed","G","Awarded",2,"Y",NA,NA,4,"Y",NA,"No"
"111",45673406,"British (ex. Channel Islands & Isle of Man)","FY","2015-2016","X","Completed","K","All work completed","MN","2016-2017","X","Completed","G","Awarded",1,"N","N","Y",5,"N",NA,"No"
